Date;Indicateurs;Français;Clients;Non-Clients
2020-03;Note globale;5.98060793;6.132489499;5.782795549
2020-04;Note globale;5.874279327;6.123933329;5.494525617
2020-07;Ponctualité;5.131695276;5.675889116;4.525676484
2020-07;Information Voyageurs;5.404425456;5.699771038;5.070635329
2020-08;Ponctualité;4.877371228;5.549604066;4.176828729
2020-08;Prix;5.487019291;5.910056173;5.035946529
2020-09;Ponctualité;4.621112388;5.050841276;4.181011811
2020-09;Innovation;5.828020611;6.175010018;5.464157685
2020-10;Innovation;6.071198299;6.399225376;5.73448935
2020-10;Information Voyageurs;5.17374794;5.564637464;4.788120597
2020-10;Environnement;6.323182602;6.668069549;5.987184621
2020-11;Ponctualité;5.10714012909;5.49701567368;4.67356203839
2021-01;Prix;5.7065528183;6.10920169436;5.2077664813
2021-01;Innovation;6.40692107795;6.64558949367;6.1064311433
2021-02;Ponctualité;5.03143051429;5.55090692815;4.42602154206
2021-02;Prix;5.75233405456;6.07324555702;5.36715916518
2021-03;Note globale;5.85134724966;6.12790259826;5.53474268378
2021-03;Environnement;6.34307951808;6.64215553051;6.00536695593
2021-04;Innovation;6.49312064992;6.69491489243;6.27279650971
2021-04;Information Voyageurs;5.54927541946;5.88569026096;5.18789437952
2021-04;Environnement;6.75538981448;7.03590533129;6.45865277554
2021-05;Prix;5.524133551;5.956520417;5.027068883
2021-05;Innovation;6.228680185;6.501688459;5.904545746
2021-05;Information Voyageurs;5.45520729;5.984994395;4.845565707
2021-05;Environnement;6.658306315;7.052741429;6.219143496
2021-07;Note globale;5.947861094;6.454975662;5.555234486
2021-07;Innovation;6.132452645;6.518447341;5.823304531
2021-07;Environnement;6.401785096;6.75875321;6.115610887
2021-09;Ponctualité;4.913198245;5.653436744;4.371379904
2021-10;Note globale;5.87553378;6.363841459;5.519797586
2021-10;Environnement;6.269285804;6.54561031;6.057852423
2021-11;Environnement;6.305780507;6.691787911;5.962935789
2018-01;Environnement;6.085985736;6.45588861;5.797129242
2018-02;Note globale;5.248919648;5.6056338;5.010506757
2018-02;Information Voyageurs;4.276012056;4.580524352;4.065725397
2018-03;Environnement;5.939369865;6.26949031;5.679507876
2018-04;Note globale;4.74816538;5.26469383;4.442279416
2018-04;Environnement;5.934929073;6.464806954;5.598327144
2018-05;Prix;4.700799885;5.270242504;4.250229778
2018-02;Prix;4.726601541;5.036752116;4.509650996
2018-05;Innovation;5.489687552;5.884246725;5.16771557
2018-02;Environnement;5.901589094;6.372927933;5.571693382
2018-06;Environnement;5.809434348;6.263661593;5.48939383
2018-06;Information Voyageurs;4.62979202;4.943657093;4.413389857
2018-08;Prix;4.890545094;5.398239036;4.483801811
2018-07;Note globale;4.973383231;5.404679145;4.661866801
2018-09;Innovation;5.785796105;6.158690176;5.474789916
2018-07;Innovation;5.572825488;6.050060563;5.202048501
2018-10;Ponctualité;4.332629356;4.888077859;3.906716418
2018-07;Environnement;5.884776582;6.476833531;5.46866956
2018-10;Prix;5.162891046;5.411330049;4.969289827
2018-08;Note globale;5.114915905;5.533746106;4.777087942
2018-10;Environnement;6.055928412;6.442748092;5.75249501
2018-09;Note globale;5.377659574;5.921182266;4.964419476
2018-11;Environnement;6.203139428;6.44510978;5.994845361
2018-09;Prix;5.018498368;5.5;4.634050881
2018-12;Environnement;6.059644638;6.433017541;5.737392672
2018-10;Information Voyageurs;4.80855615;5.206388206;4.501893939
2019-01;Note globale;5.828143701;6.247749115;5.525591806
2018-11;Note globale;5.747877759;6.113138686;5.43015873
2019-02;Ponctualité;4.475738397;5.040632054;3.98019802
2018-11;Information Voyageurs;5.107758621;5.442592593;4.816129032
2019-03;Ponctualité;4.467015707;5.007009346;4.028462998
2019-01;Environnement;6.098072356;6.401419528;5.871425997
2019-03;Information Voyageurs;4.960721868;5.456470588;4.553191489
2019-02;Innovation;6.013333333;6.265588915;5.779443255
2019-03;Environnement;6.145071982;6.467821782;5.883767535
2019-02;Information Voyageurs;4.993623804;5.423076923;4.613226453
2019-05;Environnement;6.163266127;6.469174708;5.835053455
2019-02;Environnement;6.163472379;6.459330144;5.89978678
2019-06;Ponctualité;4.482775986;5.059254815;3.923444529
2019-03;Innovation;5.976008724;6.337378641;5.681188119
2019-06;Information Voyageurs;5.000613354;5.486736707;4.525744578
2019-04;Ponctualité;4.43854382;4.935519409;4.03401697
2019-07;Environnement;6.435781433;6.695043483;6.182312948
2019-06;Prix;5.225033239;5.683608596;4.780518954
2019-09;Prix;5.297842866;5.634346179;4.973438654
2019-07;Prix;5.594942176;5.824143971;5.372650919
2020-03;Ponctualité;4.864221003;5.221032453;4.365841685
2019-08;Prix;5.127091704;5.655038947;4.642062099
2020-03;Prix;5.531838131;5.736528949;5.243187018
2019-09;Information Voyageurs;5.289466058;5.642222098;4.954728152
2020-03;Innovation;6.107247705;6.225639063;5.933569808
2019-11;Note globale;5.631037968;5.964882508;5.304660245
2020-07;Prix;5.58801591;5.871340821;5.270149047
2019-11;Information Voyageurs;5.002210702;5.388606741;4.600695894
2020-07;Environnement;6.446626678;6.699571846;6.164464993
2019-12;Ponctualité;4.277320068;4.852185524;3.77488706
2020-08;Environnement;6.388640951;6.819486015;5.934352407
2019-12;Prix;4.935055197;5.281347781;4.62503321
2020-11;Prix;5.7213401072;5.90672281843;5.51067736657
2020-01;Note globale;5.089377555;5.759620797;4.556848436
2020-12;Prix;5.61971953341;6.08097668689;5.12251681433
2020-01;Information Voyageurs;4.747792287;5.369837691;4.221517787
2020-12;Innovation;6.14954334268;6.43624953885;5.8291206144
2020-02;Information Voyageurs;4.91816112;5.33150165;4.5202866
2020-12;Environnement;6.40899520221;6.77904427876;6.0101588177
2020-02;Environnement;5.9517644;6.45880321;5.46699212
2021-01;Environnement;6.6496914462;7.04142419631;6.14974506793
2020-04;Environnement;6.255080853;6.471126463;5.907119114
2021-05;Ponctualité;4.911658369;5.483086916;4.272926976
2020-05;Innovation;5.950486442;6.052015785;5.784521836
2021-06;Note globale;6.048091138;6.500661218;5.655938274
2020-05;Environnement;6.193967364;6.406561891;5.848284528
2021-07;Ponctualité;5.119085296;5.781031833;4.594631021
2020-08;Note globale;5.730651618;6.229043618;5.166359423
2021-08;Information Voyageurs;5.60360294;6.223823426;5.040233675
2020-08;Information Voyageurs;5.263214929;5.766365004;4.729336776
2021-09;Note globale;6.023411008;6.537783175;5.650774145
2020-09;Information Voyageurs;4.823701012;5.208983075;4.436330435
2021-10;Information Voyageurs;5.400812221;6.055521466;4.9132959
2020-11;Note globale;6.01879516484;6.40570664399;5.59103720074
2021-11;Note globale;6.042830628;6.532587459;5.633152677
2020-12;Ponctualité;4.92426070213;5.51912305367;4.31047642134
2021-11;Information Voyageurs;5.358568157;6.009088335;4.799632811
2021-03;Ponctualité;4.79080453833;5.13483026968;4.39552467421
2021-12;Note globale;5.963850677;6.488718705;5.547961588
2021-03;Prix;5.58621482963;5.84476037614;5.29282405083
2021-04;Note globale;6.12945275691;6.60467188615;5.65309035403
2021-06;Prix;5.674592517;6.017122922;5.370472656
2021-07;Prix;5.673146743;6.147896143;5.29265655
2021-08;Ponctualité;5.036012566;5.684130759;4.464109857
2021-08;Innovation;6.203693108;6.609875594;5.819331332
2021-08;Environnement;6.407169646;6.856536234;5.999971549
2021-09;Prix;5.629575364;6.213663302;5.19556256
2018-01;Note globale;5.343809734;5.773589671;5.023795572
2018-03;Prix;4.838264644;5.180920591;4.584566211
2018-03;Innovation;5.659291743;5.88784128;5.470889035
2018-03;Information Voyageurs;4.513795114;4.635416464;4.422655868
2018-04;Information Voyageurs;4.507495519;4.903957473;4.259494811
2018-05;Ponctualité;3.678395708;4.409561445;3.113586359
2018-05;Information Voyageurs;4.450941366;4.934635466;4.073707666
2018-05;Environnement;5.794942164;6.345891359;5.374397793
2018-07;Prix;4.926038155;5.381673533;4.58911278
2018-08;Information Voyageurs;4.605628402;5.106588715;4.203283046
2018-08;Environnement;6.038026337;6.637464951;5.56366302
2018-09;Ponctualité;4.010683761;4.616136919;3.540796964
2018-10;Note globale;5.758081335;6.355231144;5.310218978
2018-11;Prix;5.211723535;5.565298507;4.899505766
2018-12;Ponctualité;4.370764574;4.733128443;4.063020339
2018-12;Prix;5.075664195;5.447326688;4.755093644
2018-12;Information Voyageurs;4.934701114;5.380566735;4.555630271
